locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHLIDFIL_02181	CDS	345	yejG			putative protein YejG
MHLIDFIL_02182	CDS	1191	bcr			Bicyclomycin resistance protein
MHLIDFIL_02183	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
MHLIDFIL_02184	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
MHLIDFIL_02185	CDS	285	rplY		COG1825	50S ribosomal protein L25
MHLIDFIL_02186	CDS	1008	yejK		COG3081	Nucleoid-associated protein YejK
MHLIDFIL_02187	CDS	228				hypothetical protein
MHLIDFIL_02188	CDS	1761	yejM		COG3083	Inner membrane protein YejM
MHLIDFIL_02189	tRNA	77				tRNA-Pro(ggg)
MHLIDFIL_02190	CDS	2511				putative autotransporter
MHLIDFIL_02191	CDS	981			COG3039	IS5 family transposase IS5
MHLIDFIL_02192	CDS	648	narL_2		COG2197	Nitrate/nitrite response regulator protein NarL
MHLIDFIL_02193	CDS	1053	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
MHLIDFIL_02194	CDS	558	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
MHLIDFIL_02195	CDS	1944	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
MHLIDFIL_02196	CDS	480	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
MHLIDFIL_02197	CDS	210	ccmD		COG3114	Heme exporter protein D
MHLIDFIL_02198	CDS	738	ccmC		COG0755	Heme exporter protein C
MHLIDFIL_02199	CDS	663	ccmB		COG2386	Heme exporter protein B
MHLIDFIL_02200	CDS	618	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
MHLIDFIL_02201	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
MHLIDFIL_02202	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
MHLIDFIL_02203	CDS	864	napH		COG0348	Ferredoxin-type protein NapH
MHLIDFIL_02204	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
MHLIDFIL_02205	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
MHLIDFIL_02206	CDS	264	napD		COG3062	Chaperone NapD
MHLIDFIL_02207	CDS	495	napF		COG1145	Ferredoxin-type protein NapF
MHLIDFIL_02208	CDS	165				hypothetical protein
MHLIDFIL_02209	CDS	489	eco		COG4574	Ecotin
MHLIDFIL_02210	CDS	1647	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
MHLIDFIL_02211	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
MHLIDFIL_02212	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
MHLIDFIL_02213	CDS	1065	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
MHLIDFIL_02214	CDS	1056	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
MHLIDFIL_02215	CDS	1104	ompC_2		COG3203	Outer membrane porin C
MHLIDFIL_02216	CDS	2673	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
MHLIDFIL_02217	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
MHLIDFIL_02218	CDS	2850	rcsC	2.7.13.3		Sensor histidine kinase RcsC
MHLIDFIL_02219	CDS	1827	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
MHLIDFIL_02220	CDS	1386	atoC		COG2204	Regulatory protein AtoC
MHLIDFIL_02221	CDS	663	atoD	2.8.3.8	COG1788	Acetate CoA-transferase subunit alpha
MHLIDFIL_02222	CDS	651	atoA	2.8.3.8	COG2057	Acetate CoA-transferase subunit beta
MHLIDFIL_02223	CDS	1323	atoE		COG2031	Putative short-chain fatty acid transporter
MHLIDFIL_02224	CDS	1185	atoB	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
MHLIDFIL_02225	CDS	777				hypothetical protein
MHLIDFIL_02226	CDS	1650				hypothetical protein
MHLIDFIL_02227	CDS	486				hypothetical protein
MHLIDFIL_02228	CDS	3894				hypothetical protein
MHLIDFIL_02229	CDS	624				hypothetical protein
MHLIDFIL_02230	CDS	1689				hypothetical protein
MHLIDFIL_02231	CDS	2628	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
MHLIDFIL_02232	CDS	723	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
MHLIDFIL_02233	CDS	3705	yfaL		COG3468	putative autotransporter YfaL
MHLIDFIL_02234	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
MHLIDFIL_02235	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
MHLIDFIL_02236	CDS	255				hypothetical protein
MHLIDFIL_02237	CDS	651	inaA			Protein InaA
MHLIDFIL_02238	CDS	207				hypothetical protein
MHLIDFIL_02239	CDS	1077	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
MHLIDFIL_02240	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
MHLIDFIL_02241	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
MHLIDFIL_02242	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
MHLIDFIL_02243	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
MHLIDFIL_02244	CDS	900				ISNCY family transposase ISSen7
MHLIDFIL_02245	CDS	186				hypothetical protein
MHLIDFIL_02246	CDS	804	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
MHLIDFIL_02247	CDS	1290	rhmT			Inner membrane transport protein RhmT
MHLIDFIL_02248	CDS	1206	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
MHLIDFIL_02249	CDS	783	rhmR		COG1414	putative HTH-type transcriptional regulator RhmR
MHLIDFIL_02250	CDS	1203	pncC_2	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
MHLIDFIL_02251	CDS	543				hypothetical protein
MHLIDFIL_02252	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
MHLIDFIL_02253	CDS	603	ais	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
MHLIDFIL_02254	CDS	1158	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
MHLIDFIL_02255	CDS	969	arnC_2	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
MHLIDFIL_02256	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
MHLIDFIL_02257	CDS	891	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
MHLIDFIL_02258	CDS	1653	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
MHLIDFIL_02259	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
MHLIDFIL_02260	CDS	387	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
MHLIDFIL_02261	CDS	267	pmrD			Signal transduction protein PmrD
MHLIDFIL_02262	CDS	1356	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
MHLIDFIL_02263	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
MHLIDFIL_02264	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
MHLIDFIL_02265	CDS	759	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
MHLIDFIL_02266	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
MHLIDFIL_02267	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
MHLIDFIL_02268	CDS	306	elaB		COG4575	Protein ElaB
MHLIDFIL_02269	CDS	462	elaA		COG2153	Protein ElaA
MHLIDFIL_02270	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
MHLIDFIL_02271	CDS	1209	elaD	3.4.22.-		Protease ElaD
MHLIDFIL_02272	CDS	1728				hypothetical protein
MHLIDFIL_02273	CDS	972				hypothetical protein
MHLIDFIL_02274	CDS	504	yfbM			Protein YfbM
MHLIDFIL_02275	CDS	717				hypothetical protein
MHLIDFIL_02276	CDS	423				hypothetical protein
MHLIDFIL_02277	CDS	849				hypothetical protein
MHLIDFIL_02278	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
MHLIDFIL_02279	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
MHLIDFIL_02280	CDS	1842	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
MHLIDFIL_02281	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
MHLIDFIL_02282	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
MHLIDFIL_02283	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
MHLIDFIL_02284	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
MHLIDFIL_02285	CDS	2727	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
MHLIDFIL_02286	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
MHLIDFIL_02287	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
MHLIDFIL_02288	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
MHLIDFIL_02289	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
MHLIDFIL_02290	CDS	444	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
MHLIDFIL_02291	CDS	165				hypothetical protein
MHLIDFIL_02292	CDS	939	hdfR_1			HTH-type transcriptional regulator HdfR
MHLIDFIL_02293	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
MHLIDFIL_02294	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
MHLIDFIL_02295	CDS	1833				hypothetical protein
MHLIDFIL_02296	CDS	651	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
MHLIDFIL_02297	CDS	495				hypothetical protein
MHLIDFIL_02298	CDS	456				hypothetical protein
MHLIDFIL_02299	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
MHLIDFIL_02300	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
MHLIDFIL_02301	CDS	1479				hypothetical protein
MHLIDFIL_02302	CDS	543	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
MHLIDFIL_02303	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
MHLIDFIL_02304	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
MHLIDFIL_02305	CDS	648	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
MHLIDFIL_02306	CDS	363	folX	5.1.99.7	COG1539	Dihydroneopterin triphosphate 2'-epimerase
MHLIDFIL_02307	CDS	894				Epimerase family protein
MHLIDFIL_02308	CDS	891				ISNCY family transposase ISSen7
MHLIDFIL_02309	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
MHLIDFIL_02310	CDS	717	hisM		COG4160	Histidine transport system permease protein HisM
MHLIDFIL_02311	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
MHLIDFIL_02312	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
MHLIDFIL_02313	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
MHLIDFIL_02314	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
MHLIDFIL_02315	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
MHLIDFIL_02316	CDS	489	cvpA		COG1286	Colicin V production protein
MHLIDFIL_02317	CDS	663	dedD			Cell division protein DedD
MHLIDFIL_02318	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
MHLIDFIL_02319	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
MHLIDFIL_02320	CDS	660	dedA		COG0586	Protein DedA
MHLIDFIL_02321	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
MHLIDFIL_02322	CDS	1014	usg		COG0136	USG-1 protein
MHLIDFIL_02323	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
MHLIDFIL_02324	CDS	996	flk			Flagellar regulator flk
MHLIDFIL_02325	CDS	1179	yfcJ			putative MFS-type transporter YfcJ
MHLIDFIL_02326	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
MHLIDFIL_02327	CDS	2007	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
MHLIDFIL_02328	CDS	279				hypothetical protein
MHLIDFIL_02329	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
MHLIDFIL_02330	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
MHLIDFIL_02331	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
MHLIDFIL_02332	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
MHLIDFIL_02333	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
MHLIDFIL_02334	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
MHLIDFIL_02335	CDS	822	yfcO			putative protein YfcO
MHLIDFIL_02336	CDS	540	yfcP			putative fimbrial-like protein YfcP
MHLIDFIL_02337	CDS	489	yfcQ			putative fimbrial-like protein YfcQ
MHLIDFIL_02338	CDS	513	yfcR			putative fimbrial-like protein YfcR
MHLIDFIL_02339	CDS	753	yfcS		COG3121	putative fimbrial chaperone YfcS
MHLIDFIL_02340	CDS	897	papC_2		COG3188	Outer membrane usher protein PapC
MHLIDFIL_02341	CDS	1737	papC_3		COG3188	Outer membrane usher protein PapC
MHLIDFIL_02342	CDS	564	yfcV			putative fimbrial-like protein YfcV
MHLIDFIL_02343	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
MHLIDFIL_02344	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
MHLIDFIL_02345	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
MHLIDFIL_02346	CDS	285				hypothetical protein
MHLIDFIL_02347	CDS	1341	fadL		COG2067	Long-chain fatty acid transport protein
MHLIDFIL_02348	CDS	1059				hypothetical protein
MHLIDFIL_02349	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
MHLIDFIL_02350	CDS	933	yfdC		COG2116	Inner membrane protein YfdC
MHLIDFIL_02351	tRNA	75				tRNA-Arg(cct)
MHLIDFIL_02352	CDS	1158	intS_1		COG0582	Prophage integrase IntS
MHLIDFIL_02353	CDS	921	yfdH	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
MHLIDFIL_02354	CDS	1332				hypothetical protein
MHLIDFIL_02355	CDS	303	tfaE_4			Prophage tail fiber assembly protein TfaE
MHLIDFIL_02356	CDS	441				hypothetical protein
MHLIDFIL_02357	CDS	603				hypothetical protein
MHLIDFIL_02358	CDS	276				hypothetical protein
MHLIDFIL_02359	CDS	495				hypothetical protein
MHLIDFIL_02360	CDS	369				hypothetical protein
MHLIDFIL_02361	CDS	363				hypothetical protein
MHLIDFIL_02362	CDS	825				hypothetical protein
MHLIDFIL_02363	CDS	537				hypothetical protein
MHLIDFIL_02364	CDS	363				hypothetical protein
MHLIDFIL_02365	CDS	306				hypothetical protein
MHLIDFIL_02366	CDS	201	torI			Response regulator inhibitor for tor operon
MHLIDFIL_02367	CDS	936	dsdC		COG0583	HTH-type transcriptional regulator DsdC
MHLIDFIL_02368	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
MHLIDFIL_02369	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
MHLIDFIL_02370	CDS	1539	emrY			putative multidrug resistance protein EmrY
MHLIDFIL_02371	CDS	1164	emrK		COG1566	putative multidrug resistance protein EmrK
MHLIDFIL_02372	CDS	615	evgA			DNA-binding transcriptional activator EvgA
MHLIDFIL_02373	CDS	3594	evgS	2.7.13.3	COG0784	Sensor protein EvgS
MHLIDFIL_02374	CDS	1146	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
MHLIDFIL_02375	CDS	945				hypothetical protein
MHLIDFIL_02376	CDS	1695	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
MHLIDFIL_02377	CDS	1251	frc	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
MHLIDFIL_02378	CDS	636	yfdX			Protein YfdX
MHLIDFIL_02379	CDS	276				hypothetical protein
MHLIDFIL_02380	CDS	243				hypothetical protein
MHLIDFIL_02381	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
MHLIDFIL_02382	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
MHLIDFIL_02383	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
MHLIDFIL_02384	CDS	735	ypdB		COG3279	Transcriptional regulatory protein YpdB
MHLIDFIL_02385	CDS	858	rhaR_3			HTH-type transcriptional activator RhaR
MHLIDFIL_02386	CDS	2496	fryA_1		COG1080	Multiphosphoryl transfer protein 1
MHLIDFIL_02387	CDS	1038	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
MHLIDFIL_02388	CDS	1086	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
MHLIDFIL_02389	CDS	1248	fryC		COG1299	Fructose-like permease IIC component 1
MHLIDFIL_02390	CDS	327	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
MHLIDFIL_02391	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
MHLIDFIL_02392	CDS	1257	yfeO			Putative ion-transport protein YfeO
MHLIDFIL_02393	CDS	327				hypothetical protein
MHLIDFIL_02394	CDS	1239	mntH		COG1914	Divalent metal cation transporter MntH
MHLIDFIL_02395	CDS	1203	nupC		COG1972	Nucleoside permease NupC
MHLIDFIL_02396	CDS	1113			COG3385	IS4 family transposase IS421
MHLIDFIL_02397	CDS	141				hypothetical protein
MHLIDFIL_02398	CDS	2190	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
MHLIDFIL_02399	tRNA	76				tRNA-Ala(ggc)
MHLIDFIL_02400	tRNA	76				tRNA-Ala(ggc)
MHLIDFIL_02401	CDS	360				hypothetical protein
MHLIDFIL_02402	CDS	372				hypothetical protein
MHLIDFIL_02403	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
MHLIDFIL_02404	tRNA	76				tRNA-Val(tac)
MHLIDFIL_02405	tRNA	76				tRNA-Val(tac)
MHLIDFIL_02406	tRNA	76				tRNA-Val(tac)
MHLIDFIL_02407	tRNA	76				tRNA-Lys(ttt)
MHLIDFIL_02408	CDS	885	hcaR_2			Hca operon transcriptional activator HcaR
MHLIDFIL_02409	CDS	1257	xapB			Xanthosine permease
MHLIDFIL_02410	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
MHLIDFIL_02411	CDS	765				hypothetical protein
MHLIDFIL_02412	CDS	927	cynR_2			HTH-type transcriptional regulator CynR
MHLIDFIL_02413	CDS	999				hypothetical protein
MHLIDFIL_02414	CDS	219				hypothetical protein
MHLIDFIL_02415	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
MHLIDFIL_02416	CDS	987	zipA		COG3115	Cell division protein ZipA
MHLIDFIL_02417	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
MHLIDFIL_02418	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
MHLIDFIL_02419	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
MHLIDFIL_02420	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
MHLIDFIL_02421	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
MHLIDFIL_02422	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
MHLIDFIL_02423	CDS	375				hypothetical protein
MHLIDFIL_02424	CDS	735				hypothetical protein
MHLIDFIL_02425	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
MHLIDFIL_02426	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
MHLIDFIL_02427	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
MHLIDFIL_02428	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
MHLIDFIL_02429	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
MHLIDFIL_02430	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
MHLIDFIL_02431	CDS	858	murR_1		COG1737	HTH-type transcriptional regulator MurR
MHLIDFIL_02432	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
MHLIDFIL_02433	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
MHLIDFIL_02434	CDS	1305	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
MHLIDFIL_02435	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
MHLIDFIL_02436	CDS	576	yfeY			putative protein YfeY
MHLIDFIL_02437	CDS	450	yfeZ			Inner membrane protein YfeZ
MHLIDFIL_02438	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
MHLIDFIL_02439	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
MHLIDFIL_02440	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
MHLIDFIL_02441	CDS	1053				hypothetical protein
MHLIDFIL_02442	CDS	501	eutK		COG4577	Ethanolamine utilization protein EutK
MHLIDFIL_02443	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
MHLIDFIL_02444	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
MHLIDFIL_02445	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
MHLIDFIL_02446	CDS	1209	intS_2		COG0582	Prophage integrase IntS
MHLIDFIL_02447	CDS	528				hypothetical protein
MHLIDFIL_02448	CDS	243				hypothetical protein
MHLIDFIL_02449	CDS	369				hypothetical protein
MHLIDFIL_02450	CDS	417				hypothetical protein
MHLIDFIL_02451	CDS	594				hypothetical protein
MHLIDFIL_02452	CDS	378				hypothetical protein
MHLIDFIL_02453	CDS	393				hypothetical protein
MHLIDFIL_02454	CDS	810				hypothetical protein
MHLIDFIL_02455	CDS	1404				hypothetical protein
MHLIDFIL_02456	CDS	1227				hypothetical protein
MHLIDFIL_02457	CDS	1188	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
MHLIDFIL_02458	CDS	837	ftsA_2			Cell division protein FtsA
MHLIDFIL_02459	CDS	1404	proA_2	1.2.1.41		Gamma-glutamyl phosphate reductase
MHLIDFIL_02460	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
MHLIDFIL_02461	CDS	294	eutM		COG4577	Ethanolamine utilization protein EutM
MHLIDFIL_02462	CDS	1017	eutD		COG0280	Ethanolamine utilization protein EutD
MHLIDFIL_02463	CDS	804				hypothetical protein
MHLIDFIL_02464	CDS	702	eutQ		COG4766	Ethanolamine utilization protein EutQ
MHLIDFIL_02465	CDS	480	pduV		COG4917	Propanediol utilization protein PduV
MHLIDFIL_02466	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
MHLIDFIL_02467	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
MHLIDFIL_02468	CDS	951	tal	2.2.1.2		Transaldolase
MHLIDFIL_02469	CDS	2004	tktB	2.2.1.1	COG0021	Transketolase 2
MHLIDFIL_02470	CDS	1044				hypothetical protein
MHLIDFIL_02471	CDS	576	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
MHLIDFIL_02472	CDS	1980		1.18.1.2		Ferredoxin--NADP reductase
MHLIDFIL_02473	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
MHLIDFIL_02474	CDS	3114	acrB_2		COG0841	Multidrug efflux pump subunit AcrB
MHLIDFIL_02475	CDS	357	yffB		COG1393	Protein YffB
MHLIDFIL_02476	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
MHLIDFIL_02477	CDS	201				hypothetical protein
MHLIDFIL_02478	CDS	699				hypothetical protein
MHLIDFIL_02479	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
MHLIDFIL_02480	CDS	864			COG2321	putative protein
MHLIDFIL_02481	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
MHLIDFIL_02482	CDS	231				hypothetical protein
MHLIDFIL_02483	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
MHLIDFIL_02484	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
MHLIDFIL_02485	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
MHLIDFIL_02486	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
MHLIDFIL_02487	CDS	618	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
MHLIDFIL_02488	CDS	2019	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
MHLIDFIL_02489	CDS	948	hyfC	1.-.-.-	COG0650	Hydrogenase-4 component C
MHLIDFIL_02490	CDS	1440	nuoL_2	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
MHLIDFIL_02491	CDS	651	hyfE	1.-.-.-	COG4237	Hydrogenase-4 component E
MHLIDFIL_02492	CDS	1581	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
MHLIDFIL_02493	CDS	1668	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
MHLIDFIL_02494	CDS	546	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
MHLIDFIL_02495	CDS	759	hycG_1		COG3260	Formate hydrogenlyase subunit 7
MHLIDFIL_02496	CDS	414				hypothetical protein
MHLIDFIL_02497	CDS	2013	hyfR		COG3604	DNA-binding transcriptional activator HyfR
MHLIDFIL_02498	CDS	849	focB		COG2116	putative formate transporter 2
MHLIDFIL_02499	CDS	1062	yhhT_1		COG0628	Putative transport protein YhhT
MHLIDFIL_02500	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
MHLIDFIL_02501	CDS	360	yfgD		COG1393	putative protein YfgD
